pt_mult,sl_mult,label,total_trades,win_rate,net_profit,max_dd_pct,profit_factor,avg_win,avg_loss,sharpe,n_tp,n_sl_loss,n_sl_be,n_mom,pct_tp,pct_sl_loss,pct_sl_be,pct_mom,be_activated,be_efficiency,avg_be_trigger_pts
3.5,1,PT3.5_SL1,1821,0.7375068643602416,13352.310000000009,26.13050000000003,1.8189747229001538,22.081906180193595,-34.1081380753138,2.914050642064312,445,476,834,66,24.43712246018671,26.13948380010983,45.799011532125206,3.6243822075782535,1302,0.3102918586789555,200.66359447004257
3.5,2,PT3.5_SL2,1825,0.7380821917808219,13244.85000000001,25.07249999999995,1.8226972601293223,21.784818114328136,-33.680543933054395,2.964165195098735,421,476,869,59,23.068493150684933,26.082191780821915,47.61643835616438,3.232876712328767,1306,0.29096477794793263,200.70137825420775
3.5,3,PT3.5_SL3,1831,0.7389404696886948,12793.730000000005,22.709000000000014,1.8056951518723952,21.192054693274205,-33.21991631799163,2.9560875108556903,389,476,914,52,21.245221190606227,25.99672310212998,49.91807755324959,2.8399781540142,1312,0.2652439024390244,200.45884146341103
3.5,4,PT3.5_SL4,1843,0.7395550732501357,12730.899999999989,23.873500000000057,1.8184394947248794,20.752743947175347,-32.4064375,3.016777132094216,362,478,957,46,19.641888225718937,25.935973955507325,51.92620727075421,2.4959305480195333,1322,0.2428139183055976,200.0090771558209
4.5,1,PT4.5_SL1,1811,0.7277747101049145,13506.820000000002,26.221499999999924,1.8107953007222035,22.88736722306525,-33.79052738336714,2.9285944133741566,452,491,799,69,24.95858641634456,27.112092766427388,44.119271120927664,3.810049696300387,1278,0.3208137715179969,211.24491392800905
4.5,2,PT4.5_SL2,1817,0.7275729223995597,13086.410000000009,26.62299999999996,1.796914868092373,22.32053706505295,-33.174424242424244,2.9362798209998986,427,493,837,60,23.50027517886626,27.132636213538802,46.06494221243808,3.3021463951568517,1282,0.3003120124804992,211.22542901715715
4.5,3,PT4.5_SL3,1821,0.729269632070291,13156.629999999997,23.361999999999988,1.8091642255341942,22.150722891566264,-32.98079107505071,2.988845358193091,400,491,877,53,21.96595277320154,26.963207029104886,48.160351455244374,2.910488742449204,1288,0.2779503105590062,211.03571428571075
4.5,4,PT4.5_SL4,1829,0.7282668124658284,12804.329999999987,27.409500000000026,1.8048497168578475,21.556531531531533,-32.010000000000005,3.0127818072040458,374,495,914,46,20.448332422088573,27.06396938217605,49.97266265718972,2.5150355385456535,1292,0.25696594427244585,211.06114551083235
5.5,1,PT5.5_SL1,1793,0.7150027886224205,13735.78,26.907499999999985,1.7884755359721887,24.303010920436815,-34.09135029354208,2.890780743536505,456,509,759,69,25.43223647518126,28.38817624093698,42.331288343558285,3.84829894032348,1239,0.33171912832929784,224.70217917675188
5.5,2,PT5.5_SL2,1793,0.7155605131065254,13757.580000000002,25.718500000000038,1.785607828223129,24.37225253312549,-34.33729411764706,2.910906260292408,434,508,790,61,24.205242610150584,28.332403792526488,44.06023424428332,3.4021193530395983,1240,0.31370967741935485,224.58790322580288
5.5,3,PT5.5_SL3,1793,0.7155605131065254,13280.380000000006,24.166499999999996,1.7715826345423247,23.766367887763057,-33.74876470588236,2.9107494906638625,408,508,822,55,22.75515895147797,28.332403792526488,45.84495259341885,3.067484662576687,1240,0.29274193548387095,224.58790322580288
5.5,4,PT5.5_SL4,1799,0.7153974430239022,13471.099999999995,24.001500000000036,1.7854557370320046,23.793146853146858,-33.497421875,2.982154624823223,388,510,854,47,21.567537520844915,28.349082823790994,47.47081712062256,2.612562534741523,1244,0.2757234726688103,224.35369774919258
6.0,1,PT6.0_SL1,1790,0.711173184357542,13970.989999999998,23.77550000000001,1.7938436869466012,24.799811468970933,-34.040947775628624,2.912526226464861,457,515,747,71,25.53072625698324,28.77094972067039,41.73184357541899,3.9664804469273744,1226,0.33278955954323003,229.4053833605184
6.0,2,PT6.0_SL2,1788,0.7102908277404921,13651.140000000014,24.13799999999992,1.7784331022558986,24.557346456692915,-33.854613899613895,2.91270209117619,435,516,773,64,24.328859060402685,28.859060402684566,43.23266219239373,3.5794183445190155,1223,0.31561733442354867,229.93131643499228
6.0,3,PT6.0_SL3,1788,0.7102908277404921,13257.960000000003,23.97049999999999,1.761250848356858,24.152740157480313,-33.62166023166023,2.900113808580172,410,516,804,58,22.930648769574944,28.859060402684566,44.966442953020135,3.2438478747203576,1223,0.29517579721995096,229.93131643499228
6.0,4,PT6.0_SL4,1793,0.7105409927495817,13529.540000000005,24.001999999999953,1.779854064918577,24.23732339089482,-33.427379576107896,2.979484131615538,391,517,835,50,21.80702732849972,28.834355828220858,46.56999442275516,2.788622420524261,1227,0.2787286063569682,229.6764466177633
