vol_z,vol_5bar_slope,vol_ratio,atr_pts,atr_ratio,atr_5bar_roc,rsi_level,rsi_3bar_slope,rsi_5bar_slope,ema20_3bar_slope,ema20_5bar_slope,body_ratio,close_pos,price_5bar_mom,spread,hour,day_of_week,target
0.111,0.0262,1.139,94.6,0.908,-0.0161,49.45,1.827,-0.388,0.3,0.71,0.855,0.962,-0.254,15,7,3,0
4.043,0.374,2.446,143.2,1.21,0.1523,37.71,-5.791,-4.332,-0.62,-0.89,0.69,0.143,-1.131,15,14,3,0
1.169,0.0916,0.972,198.8,1.361,0.1898,45.1,-5.8,2.435,-1.79,-2.11,0.505,0.062,0.025,15,16,3,1
0.183,-0.0508,0.933,116.4,1.154,0.029,62.29,3.409,-1.63,0.94,1.24,0.561,0.212,0.687,15,11,4,1
0.274,-0.0585,0.89,392.3,1.54,0.013,45.19,-2.799,-3.241,-1.63,-0.92,0.73,0.187,-0.65,15,17,4,0
1.266,0.0431,0.974,142.0,1.06,0.1772,62.73,4.988,5.095,0.88,1.28,0.062,0.42,1.331,11,10,0,0
1.607,0.3014,1.644,102.9,0.965,0.0936,46.14,-2.969,-9.285,0.9,1.89,0.637,0.907,-1.477,15,7,1,0
3.101,0.1286,1.55,140.6,1.003,0.0464,54.56,10.914,10.052,0.36,0.51,0.809,0.914,1.202,15,15,1,1
0.073,0.1633,1.458,81.1,0.913,-0.0937,61.98,9.055,7.433,0.88,1.54,0.651,0.928,1.307,15,7,2,0
0.562,-0.0282,0.995,95.7,1.059,0.1808,52.55,0.821,-9.43,0.74,1.46,0.101,0.747,-0.992,15,8,2,0
0.512,0.1089,1.239,104.0,1.006,0.0037,49.13,5.954,0.759,0.41,0.64,0.353,0.765,-0.077,15,13,2,1
1.439,-0.0933,0.947,288.6,1.976,1.5653,50.3,11.575,16.13,-0.3,-0.22,0.802,0.912,0.541,15,16,3,1
0.197,-0.0384,0.844,153.5,1.09,0.0155,53.65,-2.271,10.125,-0.89,-1.85,0.577,0.016,1.4,15,10,4,0
0.735,-0.0676,0.848,214.7,1.329,0.2703,53.79,6.353,-18.945,0.43,0.25,0.364,0.39,-2.082,14,16,4,1
0.124,-0.0773,0.878,216.6,1.083,-0.0066,57.69,3.887,0.899,2.07,3.3,0.378,0.926,0.356,13,11,0,0
1.379,0.1018,1.051,261.1,1.216,0.3214,55.02,8.32,-0.447,1.87,3.1,0.658,0.784,0.096,8,15,0,1
2.251,0.1142,1.208,184.9,1.318,0.3356,44.93,9.392,-1.425,0.16,0.4,0.257,0.453,-0.6,13,15,2,1
0.148,-0.0864,0.87,238.7,1.057,0.0054,49.22,3.651,-0.231,0.32,0.58,0.034,0.158,-0.101,13,16,0,1
1.62,0.1245,1.286,307.6,0.978,-0.0508,54.78,8.651,18.059,-0.98,-1.89,0.762,0.916,2.09,15,15,1,1
2.261,0.0037,1.374,244.6,1.189,0.0901,64.88,2.29,-9.562,1.07,0.48,0.676,0.847,-0.384,15,16,2,1
0.25,0.0557,1.037,484.6,1.086,-0.0432,65.42,-1.462,2.566,8.03,12.62,0.983,0.994,1.327,15,9,3,1
1.483,0.0794,1.04,725.0,1.201,0.2379,31.42,-17.775,-22.552,1.05,6.92,0.044,0.134,-3.384,9,17,3,0
1.516,0.1474,1.214,336.6,0.814,-0.0429,57.1,-1.062,1.298,-0.52,-1.65,0.507,0.315,0.517,15,9,4,1
1.604,0.0637,1.27,431.7,1.238,0.3438,22.04,-22.144,-13.754,-2.91,-3.73,0.741,0.122,-3.048,15,13,4,0
0.264,-0.0666,0.941,329.5,0.775,-0.0998,53.25,0.929,-1.847,1.52,2.62,0.093,0.694,-0.176,15,8,0,0
1.342,-0.0264,0.957,398.5,1.044,0.2253,34.95,-1.876,-17.699,-0.76,0.36,0.371,0.769,-2.688,15,10,0,1
1.782,0.0378,1.241,168.7,0.911,0.0236,59.85,7.846,5.436,0.48,0.38,0.519,0.519,1.008,15,8,1,1
1.809,0.0956,1.217,354.6,1.385,0.2396,55.96,-9.257,-6.624,2.25,4.89,0.529,0.836,-0.29,10,15,1,0
0.81,-0.0476,0.909,436.0,1.258,0.1242,64.28,0.691,11.748,3.14,4.81,0.975,1.0,2.105,8,17,1,1
0.358,0.2376,1.548,256.4,0.855,-0.0754,51.37,3.865,2.593,1.49,3.08,0.43,0.767,0.226,15,7,2,0
1.321,0.0344,1.291,401.4,1.304,0.1382,47.57,-4.791,0.423,1.75,2.73,0.102,0.73,-0.067,13,11,2,1
0.461,-0.0274,0.836,553.2,1.1,0.0956,45.48,-6.05,6.484,-0.7,-1.68,0.297,0.673,0.519,15,17,2,1
1.013,-0.0125,0.914,293.0,1.263,0.194,58.96,4.929,1.905,0.78,0.16,0.272,0.289,0.816,15,10,3,0
1.494,0.0852,1.069,286.9,0.995,0.0654,53.13,7.305,1.839,0.55,1.07,0.519,0.587,0.153,15,10,4,1
3.532,0.1789,1.503,332.2,1.119,0.1766,51.58,-4.62,-15.132,2.31,4.33,0.07,0.364,-1.547,15,15,4,1
1.137,0.0574,1.047,470.7,1.096,0.0624,38.36,-3.057,-7.243,3.41,7.58,0.495,0.56,-1.396,15,14,0,0
1.764,0.0718,1.085,680.1,1.485,0.4327,42.5,7.501,8.442,0.86,5.19,0.852,0.895,-0.44,0,15,0,0
1.997,0.1288,1.179,578.3,1.121,0.1758,65.28,13.347,2.236,3.53,5.53,0.799,0.987,0.88,15,15,1,1
