open_time,trade_id,direction,entry_price,exit_price,pnl_usd,exit_reason,grade,hour,day_of_week,session,m15_atr,m15_atr_ratio,m15_rsi,m15_vol_z,m15_body_ratio,m15_spread,vol_spike,vol_abnormal,h4_trend,h4_ema20,h4_rsi,h4_atr,counter_trend,h4_trend_strength,h4_consec_bear,h4_consec_bull,price_extension,group
2023-07-25 09:30:00+00:00,606,LONG,1962.66,1960.26,-84.0,SL,A+,9,Tuesday,London,148.8,0.97,60.6,1.07,0.02,15.0,False,False,UP,1963.46,49.1,677.3,False,240.4,0,3,0.09,LOSS
2023-07-26 15:15:00+00:00,609,LONG,1973.68,1971.28,-84.0,SL,A+,15,Wednesday,NY,147.8,1.24,68.9,2.24,0.51,15.0,False,True,UP,1964.99,58.6,688.3,False,37.2,0,2,1.06,LOSS
2023-08-11 09:45:00+00:00,624,SHORT,1916.24,1918.0800000000002,-88.32,SL,A+,9,Friday,London,114.4,0.63,59.5,1.15,0.68,15.0,False,False,DOWN,1922.22,44.7,674.3,False,943.5,0,1,0.48,LOSS
2023-08-23 09:30:00+00:00,637,LONG,1904.58,1902.6499999999999,-90.71,SL,A+,9,Wednesday,London,118.3,0.94,67.2,0.93,0.37,15.0,False,False,DOWN,1897.33,57.3,590.2,True,384.0,0,4,1.09,LOSS
2023-08-24 08:45:00+00:00,638,LONG,1921.59,1919.59,-88.0,SL,A+,8,Thursday,London,121.9,0.88,68.8,1.42,0.13,15.0,False,False,UP,1906.32,68.5,628.1,False,156.0,1,0,2.23,LOSS
2023-08-29 08:30:00+00:00,642,LONG,1925.1299999999999,1923.4999999999998,-88.02,SL,A+,8,Tuesday,London,96.9,0.83,64.9,1.04,0.83,15.0,False,False,UP,1916.41,64.0,576.9,False,646.3,1,0,1.12,LOSS
2023-09-05 15:15:00+00:00,650,SHORT,1929.06,1931.27,-88.4,SL,A+,15,Tuesday,NY,135.9,1.4,29.1,3.59,0.67,15.0,False,True,UP,1938.26,44.9,514.5,True,703.3,0,1,0.88,LOSS
2023-09-07 10:00:00+00:00,653,SHORT,1918.05,1919.85,-90.0,SL,A+,10,Thursday,London,109.0,0.91,44.9,1.79,0.35,15.0,False,False,DOWN,1926.86,34.6,506.1,False,220.2,1,0,1.58,LOSS
2023-09-08 10:30:00+00:00,654,LONG,1925.28,1923.59,-89.57,SL,A+,10,Friday,London,100.8,0.94,54.2,1.43,0.39,15.0,False,False,DOWN,1924.92,45.4,506.8,True,289.6,0,4,0.05,LOSS
2023-09-11 10:00:00+00:00,655,LONG,1930.53,1928.36,-86.8,SL,A+,10,Monday,London,135.3,0.98,80.3,1.89,0.96,15.0,False,False,DOWN,1923.94,55.4,544.4,True,276.4,0,3,0.7,LOSS
2023-09-20 15:00:00+00:00,665,LONG,1933.18,1931.49,-89.57,SL,A+,15,Wednesday,NY,100.7,1.16,63.1,1.78,0.76,15.0,False,False,UP,1927.78,59.2,473.7,False,448.0,0,1,0.93,LOSS
2023-10-03 10:00:00+00:00,680,SHORT,1821.48,1824.6100000000001,-90.77,SL,A+,10,Tuesday,London,197.2,1.0,48.3,2.4,0.72,15.0,False,True,DOWN,1849.45,19.9,842.7,False,2827.4,0,1,2.76,LOSS
2023-10-09 10:30:00+00:00,686,LONG,1851.09,1847.6399999999999,-93.15,SL,A+,10,Monday,London,220.3,0.76,54.8,1.26,0.41,15.0,False,False,DOWN,1832.67,62.3,887.1,True,1401.0,2,0,2.0,LOSS
2023-10-12 09:30:00+00:00,690,LONG,1882.22,1880.07,-96.75,SL,A+,9,Thursday,London,131.6,0.88,73.0,2.22,0.68,15.0,False,True,UP,1862.99,72.4,679.0,False,955.5,0,3,2.55,LOSS
2023-11-23 09:15:00+00:00,729,LONG,1997.3,1994.9299999999998,-101.91,SL,A+,9,Thursday,London,147.0,0.89,61.6,0.95,0.83,15.0,False,False,UP,1990.54,58.1,761.3,False,1162.9,1,0,0.5,LOSS
2023-11-28 08:00:00+00:00,733,LONG,2015.85,2013.3799999999999,-101.27,SL,A+,8,Tuesday,London,152.9,0.85,54.2,0.63,0.34,15.0,False,False,UP,2005.7,71.9,683.0,False,1220.7,0,1,1.5,LOSS
