open_time,trade_id,direction,entry_price,exit_price,pnl_usd,exit_reason,grade,hour,day_of_week,session,m15_atr,m15_atr_ratio,m15_rsi,m15_vol_z,m15_body_ratio,m15_spread,vol_spike,vol_abnormal,h4_trend,h4_ema20,h4_rsi,h4_atr,counter_trend,h4_trend_strength,h4_consec_bear,h4_consec_bull,price_extension,group
2023-05-11 09:15:00+00:00,527,SHORT,2032.41,2026.4084532477975,156.04,TP,A+,9,Thursday,London,145.5,0.71,53.2,0.65,0.49,15.0,False,False,UP,2029.16,46.5,1058.6,True,813.7,2,0,0.63,WIN
2023-05-23 09:45:00+00:00,544,SHORT,1962.39,1954.6585262628291,170.09,TP,A+,9,Tuesday,London,193.0,1.03,43.8,0.87,0.31,15.0,False,False,DOWN,1973.47,34.9,915.4,False,1462.9,6,0,1.49,WIN
2023-06-12 10:45:00+00:00,555,LONG,1960.62,1966.7408230401543,159.14,TP,A+,10,Monday,London,163.9,0.94,59.5,1.39,0.07,15.0,False,False,UP,1959.48,55.8,754.5,False,145.1,0,1,0.71,WIN
2023-07-17 15:15:00+00:00,595,SHORT,1955.8,1947.442172200688,200.59,TP,A+,15,Monday,NY,194.4,1.34,48.7,3.36,0.43,15.0,False,True,UP,1951.75,49.5,737.0,True,1029.0,1,0,0.43,WIN
2023-07-20 15:00:00+00:00,600,SHORT,1980.64,1974.4076733579268,174.51,TP,A+,15,Thursday,NY,168.1,1.14,46.1,1.38,0.44,15.0,False,False,UP,1971.47,57.9,741.9,True,1465.5,2,0,0.34,WIN
2023-07-21 15:15:00+00:00,602,SHORT,1965.65,1959.3814896924905,162.98,TP,A+,15,Friday,NY,190.4,1.43,50.0,0.99,0.21,15.0,False,False,UP,1969.5,44.5,757.6,True,896.5,0,1,0.85,WIN
2023-07-27 15:00:00+00:00,611,SHORT,1976.28,1969.5771592775545,180.98,TP,A+,15,Thursday,NY,197.1,1.09,48.2,0.84,0.66,15.0,False,False,UP,1967.67,42.9,851.0,True,167.3,2,0,0.88,WIN
2023-08-15 15:15:00+00:00,629,SHORT,1903.06,1898.1999999999998,165.24,TP,A+,15,Tuesday,NY,157.5,1.28,41.3,2.95,0.01,15.0,False,True,DOWN,1912.44,32.1,657.5,False,903.4,3,0,1.37,WIN
2023-09-01 15:15:00+00:00,645,LONG,1945.45,1948.7700000000002,159.36,TP,A+,15,Friday,NY,107.1,1.13,64.7,3.05,0.26,15.0,False,True,UP,1938.34,70.7,550.2,False,1262.3,0,4,2.11,WIN
2023-09-05 10:30:00+00:00,649,SHORT,1935.7,1932.651637503283,155.47,TP,A+,10,Tuesday,London,103.2,1.3,40.6,1.1,0.89,15.0,False,False,UP,1938.74,44.4,499.5,True,760.1,1,0,1.06,WIN
2023-09-06 09:00:00+00:00,651,SHORT,1926.88,1924.377255653885,160.18,TP,A+,9,Wednesday,London,83.5,0.79,53.1,1.61,0.8,15.0,False,False,UP,1933.41,41.2,491.9,True,260.8,1,0,1.77,WIN
2023-09-21 14:00:00+00:00,667,SHORT,1923.02,1918.4552159202474,187.16,TP,A+,14,Thursday,NY,129.3,0.92,33.6,3.1,0.82,15.0,False,True,UP,1927.36,41.3,672.5,True,328.9,2,0,1.62,WIN
2023-09-26 08:15:00+00:00,671,SHORT,1913.93,1910.6614537327855,166.7,TP,B,8,Tuesday,London,80.5,0.73,41.5,-0.9,0.63,15.0,False,False,DOWN,1921.09,38.6,528.1,False,36.9,2,0,1.38,WIN
2023-09-26 15:15:00+00:00,672,SHORT,1910.68,1906.3,170.82,TP,A+,15,Tuesday,NY,141.6,1.52,40.3,2.48,0.34,15.0,False,True,DOWN,1920.06,34.4,547.3,False,119.7,3,0,1.8,WIN
